resp;city
Адыгея;Майкоп
Алтай;Горно-Алтайск
Башкортостан;Уфа
Башкирия;Уфа
Бурятия;Улан-Удэ
Дагестан;Махачкала
Ингушетия;Магас
Кабардино-Балкарская;Нальчик
Калмыкия;Элиста
Карачаево-Черкесская;Черкесск
Карелия;Петрозаводск
Коми;Сыктывкар
Крым;Симферополь
Марий Эл;Йошкар-Ола
Мордовия;Саранск
Северная Осетия;Владикавказ
Алания;Владикавказ
Татарстан;Казань
Тыва;Кызыл
Удмуртия;Ижевск
Хакасия;Абакан
Чеченская;Грозный
Чувашская;Чебоксары
Чувашия;Чебоксары
Саха;Якутск
Якутия;Якутск
