city;federal_district;region_fo;id
Абаза;Сибирский;Хакасия Респ;a369b520-09b4-49b2-b28c-61c9146153e6
Абакан;Сибирский;Хакасия Респ;42a02e11-a337-4d50-8596-fc76dae7c62a
Абдулино;Приволжский;Оренбургская обл;5e796fe8-2870-4a24-a14a-5669ca0141e5
Абинск;Южный;Краснодарский край;ecd4abbc-79eb-4dd9-b02d-b10760fbc4ff
Агидель;Приволжский;Башкортостан Респ;8294b97c-7553-499e-8369-821d6eb0fdc7
Агрыз;Приволжский;Татарстан Респ;9f936889-a757-419e-890a-d4cc1fa95e93
Адыгейск;Южный;Адыгея Респ;ccdfd496-8108-4655-aadd-bd228747306d
Азнакаево;Приволжский;Татарстан Респ;17296190-84f5-4afd-93c5-2b79cfc8bc12
Азов;Южный;Ростовская обл;a216cad5-7027-40b8-b1a1-d64abefbd5cd
Ак-Довурак;Сибирский;Тыва Респ;7e4932c1-2db8-4fee-9997-655d837e70e1
Аксай;Южный;Ростовская обл;9bebf626-3ee7-4e1b-9e91-569c9d402152
Алагир;Северо-Кавказский;Северная Осетия - Алания Респ;e6dcf985-09c1-4ede-ba3d-de714f0a5787
Алапаевск;Уральский;Свердловская обл;a4ab722e-453a-4aed-bb73-728a05e2e27f
Алатырь;Приволжский;Чувашская Республика Чувашия;a699e866-12f0-42c3-94fd-67ca44468805
Алдан;Дальневосточный;Саха /Якутия/ Респ;29a64605-5441-48c5-bc08-117a72ebc843
Алейск;Сибирский;Алтайский край;ae716080-f27b-40b6-a555-cf8b518e849e
Александров;Центральный;Владимирская обл;59e55956-69a2-432f-b880-74cf8ec0b9fe
Александровск;Приволжский;Пермский край;4f07ade1-1415-44c8-bed9-e851f1ef558d
Александровск-Сахалинский;Дальневосточный;Сахалинская обл;b56de39f-87a4-4c5c-a2b1-9ccb64039774
Алексеевка;Центральный;Белгородская обл;94969f84-fff4-4ddf-9677-b912b4b2aa3e
Алексин;Центральный;Тульская обл;b9688874-4981-4b22-a930-2521c04beb3c
Алзамай;Сибирский;Иркутская обл;a7812582-bd5d-4d13-b284-d2b052265e9d
Алушта;Южный;Крым Респ;1fb30227-c758-4b1a-814b-eab9c8e7a582
Альметьевск;Приволжский;Татарстан Респ;1ca4e6ce-2bc8-40a9-bdf5-113449c3a172
Амурск;Дальневосточный;Хабаровский край;d3c4b43d-3e19-4454-939b-d92ef3d6c875
Анадырь;Дальневосточный;Чукотский АО;7fad3a21-06b4-4af3-9657-bf1521714952
Анапа;Южный;Краснодарский край;eeb7a0a7-3bbf-4f00-8a03-a7eabc257bed
Ангарск;Сибирский;Иркутская обл;82b6b7c8-82a4-44b2-8bc7-691373706b89
Андреаполь;Центральный;Тверская обл;0c193436-6308-407a-afbb-973a8c075630
Анжеро-Судженск;Сибирский;Кемеровская область - Кузбасс обл;8a5314a4-903e-475c-a4db-8f03db3b793f
Анива;Дальневосточный;Сахалинская обл;7e2a1112-2976-44b8-94a1-c0af2bad7d38
Апатиты;Северо-Западный;Мурманская обл;f0851e80-59d9-400b-b6d5-5f5f623bb29d
Апрелевка;Центральный;Московская обл;17b4ba8a-4300-44e4-bbf7-5f0a8118ddf5
Апшеронск;Южный;Краснодарский край;7b9a7eb9-0d6d-4135-ad1c-3c059db9f386
Арамиль;Уральский;Свердловская обл;c99ffa11-6b7e-4040-9f9e-baa1eeca8a91
Аргун;Северо-Кавказский;Чеченская Респ;3672454d-2697-4ce1-9666-cc9c744ba5c5
Ардатов;Приволжский;Мордовия Респ;edab359e-50ac-422a-9117-78ce44b6f758
Ардон;Северо-Кавказский;Северная Осетия - Алания Респ;fc26547e-11ce-464b-b4f2-96b37df6f23f
Арзамас;Приволжский;Нижегородская обл;7e42f157-87d6-4111-a406-17432e814723
Аркадак;Приволжский;Саратовская обл;9b58edf4-1ee2-43e0-9df9-d93d48a66ad1
Армавир;Южный;Краснодарский край;fc9c55d0-c66e-455e-8034-b0944b025c38
Армянск;Южный;Крым Респ;2634dc63-5ab7-4b52-81de-ab6745a8eb02
Арсеньев;Дальневосточный;Приморский край;36e4c7ce-7320-48ee-8320-0587c1e09917
Арск;Приволжский;Татарстан Респ;d2c6e970-af35-41fe-9ba6-dc44a4187c67
Артем;Дальневосточный;Приморский край;3ce80b09-9b72-4e68-9b2d-becaaee4570e
Артемовск;Сибирский;Красноярский край;d0d7a2fa-5bdc-4944-8047-75e80e4e883c
Артемовский;Уральский;Свердловская обл;fdc6b0ad-4096-43e7-a2e9-16404d2e1f68
Архангельск;Северо-Западный;Архангельская обл;06814fb6-0dc3-4bec-ba20-11f894a0faf5
Асбест;Уральский;Свердловская обл;f5fb13f3-c7d2-4075-821b-9cca03f1ae12
Асино;Сибирский;Томская обл;8540435c-3516-4d00-a7e5-213165da85e5
Астрахань;Южный;Астраханская обл;a101dd8b-3aee-4bda-9c61-9df106f145ff
Аткарск;Приволжский;Саратовская обл;6f9e3e0b-3872-4abf-a2ba-23ae4b196a73
Ахтубинск;Южный;Астраханская обл;8d7acd62-cef4-4d5c-8057-644ee454ce6c
Ачинск;Сибирский;Красноярский край;c3689d32-dea5-49c8-b69b-b8d2daa1d36b
Аша;Уральский;Челябинская обл;c1c960ba-28ed-4a23-9663-668a10e8dbc1
Бабаево;Северо-Западный;Вологодская обл;e61e9415-3cdc-4e44-9cdf-a98662bab04f
Бабушкин;Дальневосточный;Бурятия Респ;519731a7-aace-435a-9a1c-1d0051ab7913
Бавлы;Приволжский;Татарстан Респ;2a7d9c47-fc56-4167-a5fc-5e40a8a5f5d5
Багратионовск;Северо-Западный;Калининградская обл;427dc561-3277-43bd-a310-7c1953a3c8bd
Байкальск;Сибирский;Иркутская обл;cd4477e8-3335-442a-a0a4-9429a52f5c52
Баймак;Приволжский;Башкортостан Респ;874d4c58-31cd-4309-80db-8f14863efdbb
Бакал;Уральский;Челябинская обл;f0eff629-59f9-46e3-a3e1-70003376fbd8
Баксан;Северо-Кавказский;Кабардино-Балкарская Респ;67851dfd-e142-451a-b6b1-ea5e9bc7f0c1
Балабаново;Центральный;Калужская обл;ef65fa9c-6516-4175-a00a-6410a4a6f2d6
Балаково;Приволжский;Саратовская обл;45eea4e7-2977-44bb-9b3d-ef8e9198e5d2
