region;city
Амурская;Благовещенск
Архангельская;Архангельск
Астраханская;Астрахань
Белгородская;Белгород
Брянская;Брянск
Владимирская;Владимир
Волгоградская;Волгоград
Вологодская;Вологда
Воронежская;Воронеж
Еврейская;Биробиджан
Ивановская;Иваново
Иркутская;Иркутск
Калининградская;Калининград
Калужская;Калуга
Кемеровская;Кемерово
Кузбасс;Кемерово
Кировская;Киров
Костромская;Кострома
Курганская;Курган
Курская;Курск
Ленинградская;Санкт-Петербург
Липецкая;Липецк
Магаданская;Магадан
Московская;Москва
Мурманская;Мурманск
Нижегородская;Нижний Новгород
Новгородская;Великий Новгород
Новосибирская;Новосибирск
Омская;Омск
Оренбургская;Оренбург
Орловская;Орёл
Пензенская;Пенза
Пермская;Пермь
Псковская;Псков
Ростовская;Ростов-на-Дону
Рязанская;Рязань
Самарская;Самара
Саратовская;Саратов
Сахалинская;Южно-Сахалинск
Свердловская;Екатеринбург
Смоленская;Смоленск
Тамбовская;Тамбов
Тверская;Тверь
Томская;Томск
Тульская;Тула
Тюменская;Тюмень
Ульяновская;Ульяновск
Челябинская;Челябинск
Ярославская;Ярославль
